Timestamp, upperLink1, upperLink2, upperLink3, upperLink4, lowerLink1, lowerLink2, lowerLink3, lowerLink4, gripUpperR, gripUpperL, gripLowerR, gripLowerL,
15.20002,-0.8604473,1.398393,0.1499999,-0.0167028,1.079277,-0.5830272,0.0178635,-2.108445,0.03492211,-0.01110646,0.03666712,-0.01015574, 
15.30002,-0.8613375,1.394588,0.15,-0.04942773,1.080271,-0.581055,0.01455818,-2.106316,0.03568208,-0.01035056,0.04350815,-0.005499987, 
15.40002,-0.8564505,1.382231,0.15,-0.07703883,1.079521,-0.5833414,0.01785766,-2.108445,0.03490625,-0.01112471,0.03728529,-0.01011316, 
15.50002,-0.8567298,1.377885,0.15,-0.1095718,1.080411,-0.5812295,0.01455234,-2.106333,0.03556515,-0.01046974,0.0435553,-0.005499993, 
15.60002,-0.8514414,1.365249,0.1499999,-0.1371131,1.079591,-0.5834287,0.01785181,-2.108462,0.03476798,-0.01126525,0.037336,-0.0100749, 
15.70002,-0.8515112,1.360781,0.1499999,-0.1695936,1.080464,-0.5812819,0.01454674,-2.106351,0.03536931,-0.01066778,0.04356874,-0.00550007, 
15.80002,-0.8460483,1.348092,0.15,-0.1971,1.079626,-0.5834635,0.01784597,-2.108497,0.0345777,-0.01145776,0.03736849,-0.01004869, 
15.90002,-0.8460309,1.343607,0.15,-0.2295806,1.080498,-0.5813168,0.01454233,-2.106385,0.03512798,-0.01091128,0.04357804,-0.005499966, 
16.00002,-0.8405157,1.330901,0.1499999,-0.257087,1.079731,-0.5834461,0.01784883,-2.108567,0.03435067,-0.01168707,0.03688795,-0.01026195, 
16.10003,-0.8404458,1.326415,0.15,-0.2895676,1.079888,-0.5811423,0.01451681,-2.106176,0.03485098,-0.01119051,0.04368069,-0.005500029, 
16.20003,-0.8349132,1.313692,0.1499999,-0.317074,1.079224,-0.5832541,0.01785003,-2.108445,0.03409452,-0.01194551,0.03716552,-0.01044264, 
16.30003,-0.8348259,1.309224,0.1499999,-0.3495545,1.079608,-0.5810027,0.0145062,-2.106124,0.03453851,-0.01150518,0.04370801,-0.005500058, 
16.40003,-0.8292583,1.296483,0.1499999,-0.3770609,1.07912,-0.5832018,0.01784156,-2.108428,0.03380821,-0.01223407,0.03710905,-0.01012586, 
16.50003,-0.829171,1.292015,0.15,-0.4095415,1.079626,-0.5810027,0.01449846,-2.106124,0.03419215,-0.01185375,0.04370745,-0.005499982, 
16.60003,-0.8235685,1.279274,0.1500002,-0.4370305,1.07912,-0.5832018,0.01783393,-2.108445,0.03349325,-0.01255147,0.0371172,-0.01010297, 
16.70003,-0.8234987,1.274841,0.1500002,-0.4695285,1.079661,-0.5810376,0.01449178,-2.106141,0.03381368,-0.01223455,0.04371826,-0.005500104, 
16.80003,-0.8178787,1.262065,0.1499998,-0.4970174,1.079137,-0.5832367,0.0178263,-2.108445,0.0331514,-0.0128958,0.03712269,-0.01002207, 
16.90003,-0.8178089,1.257632,0.1500001,-0.529498,1.079696,-0.5810724,0.01448713,-2.106159,0.03340485,-0.01264575,0.04372604,-0.005499978, 
17.00003,-0.8121715,1.244856,0.1500001,-0.5569869,1.079137,-0.5832541,0.01781891,-2.108445,0.03278379,-0.0132659,0.03713041,-0.009944418, 
