Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
4.349998, -0.9609259, 1.249376, 0.1791521, 0.6005329, 0.8524188, -1.069765, 0.1499999, -0.2976834, -0.05500002, 0.05500001, -0.05500001, 0.05073524, 
4.399999, -0.9622524, 1.260285, 0.1791608, 0.6130295, 0.8524362, -1.073988, 0.1499999, -0.3014882, -0.05499998, 0.05499999, -0.05500005, 0.05063652, 
4.449999, -0.972672, 1.277651, 0.1791439, 0.6369928, 0.8561014, -1.081249, 0.15, -0.3094992, -0.05499998, 0.05499999, -0.05500001, 0.0505369, 
4.499999, -0.9785363, 1.293568, 0.1791345, 0.6571863, 0.8577421, -1.087794, 0.1499999, -0.3162711, -0.05500005, 0.05499994, -0.05500004, 0.05045405, 
4.549999, -0.981835, 1.307601, 0.179139, 0.6740636, 0.85851, -1.093501, 0.15, -0.3218911, -0.0549999, 0.055, -0.05499998, 0.05036703, 
4.599999, -0.9837897, 1.319678, 0.1791468, 0.6881659, 0.8588242, -1.098405, 0.15, -0.3265511, -0.05500003, 0.05499992, -0.05500001, 0.05028363, 
4.65, -0.9850289, 1.329941, 0.179156, 0.6999294, 0.8588939, -1.102542, 0.15, -0.3304257, -0.05499998, 0.05500005, -0.05500004, 0.05020733, 
4.7, -0.9946632, 1.346155, 0.1791417, 0.7222347, 0.8625592, -1.109768, 0.15, -0.3384717, -0.05499996, 0.05499995, -0.05500006, 0.05012575, 
4.75, -1.000021, 1.361008, 0.1791349, 0.7410144, 0.8642346, -1.11633, 0.1499999, -0.3452261, -0.05499997, 0.05500002, -0.055, 0.05003716, 
4.8, -1.003041, 1.37408, 0.1791392, 0.7567224, 0.8650026, -1.122037, 0.1500001, -0.3508286, -0.05499999, 0.05500001, -0.05500002, 0.04994852, 
4.85, -1.004804, 1.385303, 0.1791477, 0.7698299, 0.8653167, -1.126994, 0.15, -0.3554189, -0.055, 0.05499998, -0.05500001, 0.04984291, 
4.900001, -1.005921, 1.39485, 0.1791561, 0.780773, 0.8653691, -1.131235, 0.15, -0.3592237, -0.05500001, 0.05499997, -0.05500006, 0.04974824, 
4.950001, -1.013582, 1.408812, 0.1791467, 0.799675, 0.8688947, -1.138513, 0.15, -0.3672347, -0.05500007, 0.05499777, -0.05500001, 0.04965222, 
5.000001, -1.017789, 1.421501, 0.179143, 0.8155575, 0.8705528, -1.14511, 0.15, -0.3739717, -0.05500003, 0.05499993, -0.05499999, 0.04955726, 
5.050001, -1.020162, 1.432619, 0.1791477, 0.8288569, 0.8713207, -1.150853, 0.1500001, -0.3795567, -0.05500004, 0.05499998, -0.05500006, 0.04946733, 
5.100001, -1.021576, 1.442148, 0.1791548, 0.8399571, 0.8716349, -1.155774, 0.15, -0.3842168, -0.05500002, 0.05500007, -0.0550001, 0.04938564, 
5.150002, -1.022466, 1.450229, 0.179163, 0.8492073, 0.8717221, -1.159928, 0.15, -0.388074, -0.05500008, 0.05499785, -0.05500007, 0.04931313, 
5.200002, -1.029884, 1.4629, 0.1791535, 0.8665385, 0.8752826, -1.167154, 0.15, -0.3961199, -0.05500002, 0.05499158, -0.0550001, 0.04923607, 
5.250002, -1.033933, 1.474472, 0.179149, 0.8811295, 0.8769931, -1.173716, 0.15, -0.4028918, -0.05500008, 0.0549961, -0.05500003, 0.04915887, 
5.300002, -1.036202, 1.484647, 0.1791528, 0.8933293, 0.8777959, -1.179406, 0.15, -0.4085118, -0.05499999, 0.05499914, -0.05499997, 0.0490852, 
5.350002, -1.037563, 1.493356, 0.1791591, 0.9035221, 0.8781624, -1.184293, 0.15, -0.4131892, -0.05499995, 0.05499832, -0.05500005, 0.04901813, 
5.400002, -1.038419, 1.500756, 0.1791661, 0.9120393, 0.878302, -1.188412, 0.15, -0.4170813, -0.05500009, 0.05499393, -0.05500003, 0.04895859, 
5.450003, -1.042206, 1.509692, 0.1791656, 0.9235584, 0.8816181, -1.195568, 0.1499998, -0.4251622, -0.05500006, 0.05498689, -0.05499997, 0.04889596, 
5.500003, -1.044213, 1.517651, 0.1791674, 0.933245, 0.8833112, -1.202008, 0.1500001, -0.4319516, -0.05500007, 0.0549834, -0.05500006, 0.04883799, 
5.550003, -1.045365, 1.524528, 0.1791724, 0.9413434, 0.8841314, -1.207646, 0.15, -0.4376238, -0.05499993, 0.05497921, -0.05500004, 0.04878558, 
5.600003, -1.046063, 1.530374, 0.1791786, 0.9480977, 0.8845329, -1.212445, 0.1500001, -0.4423537, -0.05500005, 0.05497391, -0.05500006, 0.04873931, 
5.650003, -1.046517, 1.535314, 0.1791846, 0.9537177, 0.8847074, -1.216512, 0.1499998, -0.4462807, -0.05499997, 0.05496805, -0.055, 0.04869923, 
5.700004, -1.049693, 1.541859, 0.1791841, 0.9623745, 0.8880584, -1.223598, 0.1499999, -0.454379, -0.05500001, 0.0549615, -0.055, 0.04865413, 
5.750004, -1.051334, 1.547793, 0.1791841, 0.9696351, 0.8897863, -1.230003, 0.1500001, -0.4612207, -0.05500016, 0.05495768, -0.05500005, 0.0486129, 
5.800004, -1.052242, 1.552924, 0.1791879, 0.9757088, 0.8906589, -1.235588, 0.1499999, -0.4669105, -0.055, 0.05495422, -0.05500001, 0.04857617, 
5.850004, -1.0528, 1.557305, 0.1791922, 0.9807878, 0.8910953, -1.240353, 0.1500001, -0.4716752, -0.05500003, 0.05495033, -0.05500006, 0.04854399, 
5.900004, -1.053149, 1.560988, 0.1791967, 0.9850289, 0.8913222, -1.244385, 0.1500001, -0.4756197, -0.05499994, 0.05494662, -0.05499994, 0.04851663, 
5.950005, -1.056256, 1.56652, 0.1791946, 0.9924989, 0.8946907, -1.251436, 0.1499999, -0.4837529, -0.05499915, 0.05494206, -0.05499992, 0.04848291, 
6.000005, -1.057879, 1.571564, 0.1791923, 0.9987996, 0.8964709, -1.257772, 0.1499999, -0.490647, -0.05499995, 0.05494004, -0.05500006, 0.04847245, 
6.050005, -1.058769, 1.57598, 0.1791947, 1.004053, 0.8973785, -1.263252, 0.1500002, -0.4964065, -0.05499995, 0.05493827, -0.05500007, 0.04846313, 
6.100005, -1.05931, 1.57975, 0.1791985, 1.008451, 0.8978846, -1.267929, 0.1500001, -0.5012237, -0.05500001, 0.05493613, -0.0550001, 0.04845444, 
6.150005, -1.059659, 1.582926, 0.1792022, 1.012116, 0.8981464, -1.271891, 0.1500001, -0.5052205, -0.05499949, 0.05493402, -0.05500011, 0.0484468, 
6.200006, -1.062783, 1.58804, 0.1791991, 1.019133, 0.9015672, -1.278907, 0.1499998, -0.5133711, -0.05499852, 0.05493117, -0.05499998, 0.04842996, 
