Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
5.200002, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499963, -0.05500006, 0.05154773, 
5.250002, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499959, -0.05500006, 0.05154773, 
5.300002, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498644, 0.05499966, -0.05500003, 0.05154778, 
5.350002, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498653, 0.05499959, -0.05500003, 0.05154773, 
5.400002, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499966, -0.05500002, 0.05154773, 
5.450003, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499963, -0.05500002, 0.05154778, 
5.500003, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499959, -0.05499999, 0.0515478, 
5.550003, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.1499998, 0.01123992, -0.05498644, 0.05499966, -0.05500006, 0.05154773, 
5.600003, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499966, -0.05500006, 0.05154773, 
5.650003, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498644, 0.05499972, -0.05499999, 0.0515478, 
5.700004, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498644, 0.05499972, -0.05500006, 0.05154773, 
5.750004, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498644, 0.05499972, -0.05500001, 0.0515478, 
5.800004, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498644, 0.05499972, -0.05500003, 0.05154778, 
5.850004, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499972, -0.05500003, 0.05154777, 
5.900004, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499968, -0.05499999, 0.0515478, 
5.950005, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499969, -0.05499999, 0.0515478, 
6.000005, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498644, 0.05499976, -0.05499999, 0.0515478, 
6.050005, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.1499998, 0.01123992, -0.05498644, 0.05499975, -0.055, 0.05154781, 
6.100005, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.0549997, -0.05500001, 0.05154778, 
6.150005, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499969, -0.05500001, 0.0515478, 
6.200006, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498649, 0.05499975, -0.055, 0.05154773, 
6.250006, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499972, -0.05500001, 0.0515478, 
6.300006, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499975, -0.05500002, 0.05154778, 
6.350006, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499975, -0.05500001, 0.0515478, 
6.400006, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499975, -0.05500001, 0.0515478, 
6.450006, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499979, -0.05500002, 0.05154777, 
6.500007, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499975, -0.05500001, 0.05154778, 
6.550007, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.1499998, 0.01123992, -0.05498651, 0.05499975, -0.05500001, 0.0515478, 
6.600007, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499975, -0.05500001, 0.0515478, 
6.650007, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499981, -0.05500001, 0.0515478, 
6.700007, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.1499998, 0.01123992, -0.0549865, 0.05499985, -0.05500003, 0.05154774, 
6.750008, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499984, -0.05500001, 0.0515478, 
6.800008, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.1499998, 0.01123992, -0.0549865, 0.05499981, -0.05500003, 0.05154774, 
6.850008, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498649, 0.05499988, -0.05500001, 0.0515478, 
6.900008, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499992, -0.05500002, 0.05154773, 
6.950008, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499986, -0.05500002, 0.05154777, 
